url,priority,hub,type,submitted_date,next_check_date,follow_up_date,search_console_status,notes
https://www.vitalbloom.blog/sitemap.xml,critical,sitewide,sitemap,2026-06-02,2026-06-04,2026-06-09,submitted,"Check sitemap discovery and submitted URL count."
https://www.vitalbloom.blog/stress-management-guide,high,stress_mindfulness,pillar,2026-06-02,2026-06-04,2026-06-09,submitted,"Request indexing submitted; watch impressions and coverage."
https://www.vitalbloom.blog/better-sleep-routine-guide,high,sleep,pillar,2026-06-02,2026-06-04,2026-06-09,submitted,"Request indexing submitted; watch impressions and coverage."
https://www.vitalbloom.blog/balanced-plate-guide,high,nutrition,pillar,2026-06-02,2026-06-04,2026-06-09,submitted,"Request indexing submitted; watch impressions and coverage."
https://www.vitalbloom.blog/beginner-home-workout-guide,high,fitness,pillar,2026-06-02,2026-06-04,2026-06-09,submitted,"Request indexing submitted; watch impressions and coverage."
https://www.vitalbloom.blog/daily-wellness-routine-beginners,high,wellness_lifestyle,pillar,2026-06-02,2026-06-04,2026-06-09,submitted,"Request indexing submitted; watch impressions and coverage."
https://www.vitalbloom.blog/beginner-guide-to-balanced-living,medium,wellness_lifestyle,support,2026-06-02,2026-06-04,2026-06-09,submitted,"Strong fresh post with trust display and four sources."
https://www.vitalbloom.blog/daily-wellness-checklist,medium,wellness_lifestyle,support,2026-06-02,2026-06-04,2026-06-09,submitted,"High internal link value; monitor clicks."
https://www.vitalbloom.blog/sleep-hygiene-checklist-printable,medium,sleep,printable,2026-06-02,2026-06-04,2026-06-09,submitted,"Linkable asset; monitor index and impressions."
https://www.vitalbloom.blog/stress-reset-checklist-printable,medium,stress_mindfulness,printable,2026-06-02,2026-06-04,2026-06-09,submitted,"Linkable asset; monitor index and impressions."
https://www.vitalbloom.blog/balanced-plate-printable-guide,medium,nutrition,printable,2026-06-02,2026-06-04,2026-06-09,submitted,"Linkable asset; monitor index and impressions."
https://www.vitalbloom.blog/high-protein-vegetarian-meals,medium,nutrition,support,2026-06-02,2026-06-04,2026-06-09,submitted,"Good nutrition query target; monitor impressions."
https://www.vitalbloom.blog/healthy-breakfast-ideas,medium,nutrition,support,2026-06-02,2026-06-04,2026-06-09,submitted,"Broad query target; monitor title CTR later."
https://www.vitalbloom.blog/simple-breathing-exercises,medium,stress_mindfulness,support,2026-06-02,2026-06-04,2026-06-09,submitted,"Evergreen stress query; monitor coverage."
https://www.vitalbloom.blog/walking-for-weight-management,medium,fitness,support,2026-06-02,2026-06-04,2026-06-09,submitted,"Fitness/nutrition overlap; monitor impressions."
https://www.vitalbloom.blog/healthy-habits-remote-workers,medium,wellness_lifestyle,support,2026-06-02,2026-06-04,2026-06-09,submitted,"Remote work wellness topic; monitor coverage."
